img_no,outlier,anomaly_score
0,False,-0.032088649245396
1,False,-0.029549334915771823
2,False,-0.03112153221894775
3,False,-0.03270221200813327
4,False,-0.03168957565952812
5,False,-0.030999443279996257
6,False,-0.0340565487467197
7,False,-0.028867526697411876
8,False,-0.03152648990084205
9,False,-0.030456105964675288
10,False,-0.027677614959373813
11,False,-0.030780185731544833
12,False,-0.02988174256910358
13,False,-0.03127782677341972
14,False,-0.02994410579134498
15,False,-0.03148599413265262
16,False,-0.027337913187637668
17,False,-0.033145925747647624
18,False,-0.028598700436249118
19,False,-0.031168573322191577
20,False,-0.029661196070208888
21,False,-0.03338562768925701
22,False,-0.029829143332734447
23,False,-0.030294396700754504
24,False,-0.031606943132772784
25,False,-0.03021527712275062
26,False,-0.03328660761047874
27,False,-0.029709578277960162
28,False,-0.031756086992516856
29,False,-0.029131890060797076
30,False,-0.03312615004409824
31,False,-0.030880571129217486
32,False,-0.03313932825852905
33,False,-0.03482420441736255
34,False,-0.03406550620724235
35,False,-0.03425476771821056
36,False,-0.03247433786322151
37,False,-0.03529208970297847
38,False,-0.032514768438830714
39,False,-0.03496766069014345
40,False,-0.03139705655206714
41,False,-0.03284496885766063
42,False,-0.032102488698854785
43,False,-0.03177362938453231
44,False,-0.03245722946752582
45,False,-0.032298502298488956
46,False,-0.03439878185321365
47,False,-0.032836555289521556
48,False,-0.035099208141162734
49,False,-0.03143138137687717
50,False,-0.03448282812763725
51,False,-0.03347558972467456
52,False,-0.0345099501036552
53,False,-0.03358757008840118
54,False,-0.034150336655273776
55,False,-0.031052971976294856
56,False,-0.03131072108675514
57,False,-0.0315608948193935
58,False,-0.030341821508899074
59,False,-0.029799337285056453
60,False,-0.027530033858909946
61,False,-0.027922794940367084
62,False,-0.027728709178462367
63,False,-0.030812862115397792
64,False,-0.027791742952957492
65,False,-0.029168373691335063
66,False,-0.02809299972881351
67,False,-0.029344041618004184
68,False,-0.02586793226231609
69,False,-0.02181388695766006
70,False,-0.028530937405720096
71,False,-0.02823740129400764
72,False,-0.030172294723286967
73,False,-0.027139362665310245
74,False,-0.030842845114364963
75,False,-0.029287825124755244
76,False,-0.03294430931140457
77,False,-0.0329054768853334
78,False,-0.031831073360934596
79,False,-0.03277394247283016
80,False,-0.03253100511659656
81,False,-0.0333307932787088
82,False,-0.032198813530102115
83,False,-0.03486132134725128
84,False,-0.02987753112842117
85,False,-0.03293219280470882
86,False,-0.02899048549164806
87,False,-0.0315646443240789
88,False,-0.03009892885614906
89,False,-0.032275273250832896
90,False,-0.02859101702500854
91,False,-0.03142950755585704
92,False,-0.02997961712111507
93,False,-0.026237937407985072
94,False,-0.02967441712547813
95,False,-0.02674630356062923
96,False,-0.028463312210932117
97,False,-0.026430600108995776
98,False,-0.0306613452457336
99,False,-0.027489858465686183
100,False,-0.02936909792055164
101,False,-0.028264854820862155
102,False,-0.03248321336735759
103,False,-0.03369779397775207
104,False,-0.03150309321512256
105,False,-0.03324345198501621
106,False,-0.030841893302693706
107,False,-0.035280993925824504
108,False,-0.030236187177195888
109,False,-0.035138577940359454
110,False,-0.03250433203805957
111,False,-0.034787961068048816
112,False,-0.034485551314845424
113,False,-0.036386467302635055
114,False,-0.03457068723668132
115,False,-0.033660660284057
116,False,-0.037778626913621764
117,False,-0.03447684158612762
118,False,-0.036600986281826835
119,False,-0.03547619168688331
120,False,-0.039395162621929984
121,False,-0.03569149577100549
122,False,-0.033716429742470126
123,False,-0.032632744657292705
124,False,-0.03667304829736028
125,False,-0.0369224164359716
126,False,-0.03499489163090263
127,False,-0.033676369833245616
128,False,-0.03202713166405235
129,False,-0.03643291515339885
130,False,-0.033420991870060306
131,False,-0.03583166168113027
132,False,-0.03243407678832088
133,False,-0.03328605813015972
134,False,-0.03197185208131347
135,False,-0.0341378029160646
136,False,-0.03573977646459613
137,False,-0.03287082050968681
138,False,-0.034897002177729945
139,False,-0.03188083578874145
140,False,-0.032988297539248805
141,False,-0.026957052546038966
142,False,-0.034102934198871
143,False,-0.03161431920756374
144,False,-0.03350170400966678
145,False,-0.03483099189628635
146,False,-0.03469298106659923
147,False,-0.03471864831675563
148,False,-0.03356269632507835
149,False,-0.03464761448134456
150,False,-0.03237078969408546
151,False,-0.03550661147613798
152,False,-0.030785805331960063
153,False,-0.030418618368401866
154,False,-0.027460184665813785
155,False,-0.03250544589985881
156,False,-0.026930604847565036
157,False,-0.028810580047264438
158,False,-0.026544100391164165
159,False,-0.02427139763762031
160,False,-0.025570153044953685
161,False,-0.020177916409864764
162,False,-0.014307322698130946
163,False,-0.007789230691686015
164,False,-0.024511732878580432
165,False,-0.026959310071959834
166,False,-0.030035233842625957
167,False,-0.02515621741344009
168,False,-0.029040190177455287
169,False,-0.028441573279395442
170,False,-0.02819964547683273
171,False,-0.025540626394048076
172,False,-0.026294146450653415
173,False,-0.02907811549533878
174,False,-0.02536528815557037
175,False,-0.026416118042960506
176,False,-0.022145374464288096
177,False,-0.03020934646059547
178,False,-0.029933553906574588
179,False,-0.027378133284345012
180,False,-0.02981910367538009
181,False,-0.028534280853762965
182,False,-0.02927446809639011
183,False,-0.028388383584514003
184,False,-0.03151928332675968
185,False,-0.02682588879992042
186,False,-0.029362250836983066
187,False,-0.02422945086885963
188,False,-0.028667465569868426
189,False,-0.027725319164290767
