epochs,loss,validation_loss
0,0.163732034308848,0.0828944423223195
1,0.0719950091459003,0.0660079718486631
2,0.0589690796641352,0.0605806143588671
3,0.0529134153394527,0.0522909332321931
4,0.04898750680724,0.0490544578698399
5,0.0459778605869003,0.0462160370053221
6,0.0438677443739245,0.0439398788153853
7,0.0420144826660748,0.0424857430806443
8,0.0406497131911368,0.041277510798685
9,0.0392864306280815,0.040037502572961
10,0.0382699169510719,0.0397619566110443
11,0.0373531332202986,0.0378829759617918
12,0.0364183013686557,0.0370750840089909
13,0.0355333814701808,0.0360487853623416
14,0.0347888936720837,0.0366866458887787
15,0.0340149613036439,0.034944440786765
16,0.0332189063620723,0.0345389632142433
17,0.0327487502466229,0.0355387068689549
18,0.0319731664642983,0.0332204859074392
19,0.031407609399335,0.0322679749022335
20,0.0309489500434959,0.0321366089102748
21,0.0304112540643199,0.0318443683065371
22,0.0299604817981423,0.0312270007636313
23,0.02940457893012,0.0305630197433848
24,0.0290629754877752,0.0305253263545907
25,0.0285948845223079,0.0299905971219958
26,0.0281725217095192,0.0300052902793095
27,0.0277680254133503,0.029219959688173
28,0.0275366410369576,0.029172807821332
29,0.0273970223159766,0.0299857889119212
30,0.0268937909038238,0.0282828723543991
31,0.0265146104874564,0.0282545961337546
32,0.0262917851262232,0.0282541894902513
33,0.0260274738438573,0.0273019726128746
34,0.0257211275106551,0.0278470098427985
35,0.0255391524775939,0.026662917578057
36,0.0252931528085587,0.0271794643151025
37,0.0249997239170316,0.0263330908534733
38,0.0247968756368542,0.0260351768027157
39,0.0245442914003445,0.0256886304989797
40,0.0243736168503566,0.0254317406803097
41,0.0241342887355416,0.0255630226321008
42,0.0238641979136303,0.0252227388560499
43,0.0237356671880857,0.0250020648892883
44,0.0236024217132259,0.0249149856161853
45,0.0233077863365216,0.0246717454482839
46,0.0231581498400058,0.0245622671698326
47,0.0230205743725782,0.0251982921828009
48,0.022867368509859,0.02405490948219
49,0.0227765173158224,0.0240353085696016
50,0.0225950985611264,0.0236493198362659
51,0.0223746654498421,0.0234585799548996
52,0.0222142724210725,0.0239043812263229
53,0.0220510406991819,0.0233105914624722
54,0.0219363883819455,0.0229286274120007
55,0.0218177803883365,0.0230137850136653
56,0.0216765434304678,0.0241658404962793
57,0.0214952337975595,0.0225807878796912
58,0.0214221837230367,0.0227556814222711
59,0.0212822363924941,0.0226354298169073
60,0.0211170988461745,0.0226752110267883
61,0.020984335513968,0.0227066097211211
62,0.0208858528606642,0.0222610254691207
63,0.0207699546651318,0.0219366303793915
64,0.0206709643606753,0.0217246622799738
65,0.0205328955868977,0.0216192307809716
66,0.0204336413358843,0.0214868253479673
67,0.0203709395918873,0.0214568586024927
68,0.0202454278257742,0.0212392719232872
69,0.0201608103888681,0.0211125817575139
70,0.0201176976943327,0.0212011497093526
71,0.0199283917684083,0.0213031616044915
72,0.0198334150783279,0.0213141800180826
73,0.0197641622603816,0.0208867065880668
74,0.019577261493876,0.0211352257219623
75,0.01961359420024297,0.020327428942673826
76,0.01946374270578031,0.02016172528726189
77,0.019384959878193008,0.020529643151926125
78,0.019241734396885424,0.02052084952762954
79,0.019127474374630873,0.020177495602059038
80,0.01904295088565038,0.020690163291276317
81,0.019004516191537084,0.020487703204359095
82,0.01886981110167659,0.019635522215027516
83,0.018800368472885073,0.02223201710985948
84,0.01878480272477164,0.019595172519893407
85,0.018752826489751635,0.019444599037471155
86,0.018618337564121665,0.02018808749542661
87,0.018482757175913432,0.01947783882895561
88,0.018505000427754877,0.019354344809164196
89,0.018403001739552206,0.019291175248688213
90,0.01821483909304625,0.019264590769121636
91,0.01825246496089533,0.01915543566810894
92,0.018092434611049743,0.01882055038628785
93,0.01806222025329381,0.01894967964761061
94,0.01801686263064933,0.018903160697385055
95,0.017946220346379514,0.01870281704739757
96,0.017842998885202643,0.0187459281394811
97,0.01782169653212323,0.018611481519560564
98,0.017814684627589835,0.01938505226652644
99,0.01770266878229925,0.01861032233764864
