img_no,outlier,anomaly_score
0,False,-0.0345668727935477
1,False,-0.03170283422183234
2,False,-0.03368593290757377
3,False,-0.035125936421863624
4,False,-0.03440275512944896
5,False,-0.03336304895889003
6,False,-0.035563572350256034
7,False,-0.03108551264118392
8,False,-0.033616985234729835
9,False,-0.032972362864129134
10,False,-0.02937224418234069
11,False,-0.03288680039655406
12,False,-0.031534210819117614
13,False,-0.033505353185646125
14,False,-0.03242560573231418
15,False,-0.033701873424760886
16,False,-0.028990763279907295
17,False,-0.034929311874620506
18,False,-0.031093345064036437
19,False,-0.03325159199845035
20,False,-0.03259503752302367
21,False,-0.03570941932808597
22,False,-0.031562279018871375
23,False,-0.032700006890408584
24,False,-0.033364511135332175
25,False,-0.031904052052013465
26,False,-0.03549056411098678
27,False,-0.032401439774148055
28,False,-0.03292338088463981
29,False,-0.031130000057928153
30,False,-0.03477680966567237
31,False,-0.03348734699498851
32,False,-0.03626171596657474
33,False,-0.0379153239012881
34,False,-0.036118312779180595
35,False,-0.03643579878222186
36,False,-0.034934616688005515
37,False,-0.03740354538273055
38,False,-0.03480381429504592
39,False,-0.03782307081233699
40,False,-0.0333028110147639
41,False,-0.035259970504157134
42,False,-0.03515614852618415
43,False,-0.034290866035334655
44,False,-0.03476946898113925
45,False,-0.034733491990081855
46,False,-0.03683926821064193
47,False,-0.03460966334056098
48,False,-0.03722425088595588
49,False,-0.03398953289102752
50,False,-0.036962584632746764
51,False,-0.03635323889862735
52,False,-0.03716310955893237
53,False,-0.03639580965351302
54,False,-0.03697199471604068
55,False,-0.03355242967914779
56,False,-0.03298525423120696
57,False,-0.03391524873983104
58,False,-0.0323913963915034
59,False,-0.031758972483985015
60,False,-0.029743331524841377
61,False,-0.029196447733156272
62,False,-0.029901946935169288
63,False,-0.03327014021884639
64,False,-0.029870851937048026
65,False,-0.031365272629372665
66,False,-0.030808121937625
67,False,-0.03140933722566802
68,False,-0.02570068933378894
69,False,-0.023416581603996345
70,False,-0.030832602682821342
71,False,-0.031262093263976165
72,False,-0.033404017838947364
73,False,-0.030440901446454116
74,False,-0.033663853111974784
75,False,-0.03121240347933013
76,False,-0.034976591396443435
77,False,-0.03576354779612262
78,False,-0.03435137778829772
79,False,-0.03557304762613017
80,False,-0.035846023860685416
81,False,-0.03597743533860881
82,False,-0.03493749074947078
83,False,-0.037439773830883094
84,False,-0.03226768695127208
85,False,-0.03558467053186137
86,False,-0.03119506039034564
87,False,-0.03337258570205409
88,False,-0.03263677195023734
89,False,-0.034486471715681144
90,False,-0.031091832596175262
91,False,-0.03381442375790317
92,False,-0.03252457179438312
93,False,-0.028580392751209327
94,False,-0.03168581709574897
95,False,-0.029764157760254928
96,False,-0.030475853982679435
97,False,-0.028541256713978835
98,False,-0.03289956137847144
99,False,-0.030448268208019325
100,False,-0.03209610008012492
101,False,-0.030035645741335937
102,False,-0.03463161647628982
103,False,-0.036183995235077926
104,False,-0.0335409017683192
105,False,-0.03503412291716773
106,False,-0.03375876047026355
107,False,-0.03800428569626052
108,False,-0.03340099290322501
109,False,-0.03765348069678981
110,False,-0.03556700147997577
111,False,-0.0371821718693896
112,False,-0.0371213900328799
113,False,-0.03914278097759921
114,False,-0.03672424055945117
115,False,-0.03557329163264472
116,False,-0.039827215525619575
117,False,-0.03718510739814479
118,False,-0.038654907646886894
119,False,-0.03858580723714072
120,False,-0.04155621309142549
121,False,-0.0388255240799113
122,False,-0.03585014961969096
123,False,-0.03552373968373973
124,False,-0.038659309077374526
