img_no,loss
0,0.021461471915245056
1,0.024819931015372276
2,0.022961920127272606
3,0.020572207868099213
4,0.021787332370877266
5,0.022039245814085007
6,0.02007792703807354
7,0.025050219148397446
8,0.022193044424057007
9,0.022968187928199768
10,0.026168325915932655
11,0.022615598514676094
12,0.023646356537938118
13,0.022602662444114685
14,0.02347542718052864
15,0.021937353536486626
16,0.026247484609484673
17,0.02100653201341629
18,0.02471601776778698
19,0.022998321801424026
20,0.023035986348986626
21,0.020075032487511635
22,0.02376628667116165
23,0.0228255782276392
24,0.021784380078315735
25,0.023812707513570786
26,0.019757067784667015
27,0.023316117003560066
28,0.021869231015443802
29,0.024583283811807632
30,0.020206274464726448
31,0.022048823535442352
32,0.019725453108549118
33,0.018308058381080627
34,0.01926257088780403
35,0.019444972276687622
36,0.02091248705983162
37,0.018425041809678078
38,0.020653679966926575
39,0.018787985667586327
40,0.022939642891287804
41,0.020909860730171204
42,0.021123701706528664
43,0.021227622404694557
44,0.021116966381669044
45,0.021300189197063446
46,0.018946360796689987
47,0.021348239853978157
48,0.01801195554435253
49,0.02210294082760811
50,0.01878839172422886
51,0.019949885085225105
52,0.0190028827637434
53,0.019633354619145393
54,0.01892380602657795
55,0.02199658192694187
56,0.022075951099395752
57,0.021383997052907944
58,0.022719496861100197
59,0.02437504567205906
60,0.026644127443432808
61,0.026567572727799416
62,0.025992879644036293
63,0.022812891751527786
64,0.02609090879559517
65,0.02474069781601429
66,0.02500297501683235
67,0.024471519514918327
68,0.028591854497790337
69,0.032375674694776535
70,0.02514410950243473
71,0.02481059543788433
72,0.022436777129769325
73,0.02545754611492157
74,0.021758869290351868
75,0.024174492806196213
76,0.02083275094628334
77,0.020162809640169144
78,0.0211061742156744
79,0.020379845052957535
80,0.020286619663238525
81,0.02054508961737156
82,0.020771726965904236
83,0.018253250047564507
84,0.02388177067041397
85,0.020277054980397224
86,0.024580396711826324
87,0.022191785275936127
88,0.022981839254498482
89,0.021807320415973663
90,0.02434985153377056
91,0.022114969789981842
92,0.023727422580122948
93,0.027167264372110367
94,0.02338225208222866
95,0.026405999436974525
96,0.02503419667482376
97,0.02759402245283127
98,0.022498352453112602
99,0.02581445872783661
100,0.023576265200972557
101,0.025633040815591812
102,0.02094600535929203
103,0.019585207104682922
104,0.022017935290932655
105,0.020820830017328262
106,0.022160185500979424
107,0.01795208640396595
108,0.022692833095788956
109,0.018122775480151176
110,0.02066965401172638
111,0.018200501799583435
112,0.018811292946338654
113,0.0169209074229002
114,0.018793201074004173
115,0.019944284111261368
116,0.015209258534014225
117,0.018668990582227707
118,0.016757765784859657
119,0.017379822209477425
120,0.013843354769051075
121,0.017141761258244514
122,0.019417904317378998
123,0.02118661254644394
124,0.016451291739940643
125,0.016659993678331375
126,0.01821843534708023
